AD	'AD\d{3}'
PG	'\d{3} (Bougainville|Central|Chimbu|Eastern Highlands|East New Britain|East Sepik|Enga|Gulf|Madang|Manus|Milne Bay|Morobe|National Capital|New Ireland|Northern|Sandaun|Southern Highlands|Western|Western Highlands|West New Britain)'
PH	'\d{4}'
PK	'(-)?\d{5}'
PL	'\d{2}-\d{3}'
PM	'9[78]5\d{2}'
PN	'PCRN 1ZZ'
PR	'00[679]\d{2}([ \-]\d{4})?'
PS	''
PT	'\d{4}(-\d{3})?(\s?[a-zA-Z]{0,25})?'
PW	'96940'
PY	'\d{4}'
QA	''
RE	'(97|98)(4|7|8)\d{2}'
RO	'\d{6}'
RS	'\d{6}'
RU	'\d{6}'
RW	''
SA	'\d{5}'
SB	''
SC	''
SD	'\d{5}'
SS	'\d{5}'
SE	'\d{3}[ ]?\d{2}'
SG	'\d{6}'
SH	'(ASCN|STHL) 1ZZ'
SI	'(SI[ \-])?\d{4}'
SJ	'\d{4}'
SK	'\d{3}[ ]?\d{2}'
SL	''
SM	'4789\d'
SN	'\d{5}'
SO	'([A-Z]{2}( )?)?\d{5}'
SR	''
ST	''
SV	'CP \d{4}'
SX	''
SY	'\d{4}'
SZ	'[HLMS]\d{3}'
TC	'TKCA 1ZZ'
TD	''
TF	''
TG	''
TH	'\d{5}'
TJ	'\d{6}'
TK	''
TL	''
TM	'\d{6}'
TN	'\d{4}'
TO	''
TR	'\d{5}'
TT	''
TV	''
TW	'\d{3}(\d{2})'
TZ	''
UA	'\d{5}'
UG	''
UM	''
US	'([A-Z]{2}\s)?\d{5}([ \-]\d{4})?'
UY	'\d{5}'
UZ	'\d{6}'
VA	'00120'
VC	''
VE	'\d{4}'
VG	'VG\d{4}'
VI	'008(([0-4]\d)|(5[01]))([ \-]\d{4})?'
VN	'\d{6}'
VU	''
WF	'986\d{2}'
WS	''
YE	''
YT	'976\d{2}'
ZA	'\d{4}'
ZM	'\d{5}'
ZW	''
CS	'\d{5}'
AN	''
